epci_insee_id,aldo_soil_category,soil_carbon_content
1,cultures,50.2099757030412
2,cultures,49.9429733685612
3,cultures,42.5054154062344
4,cultures,49.4390460035589
200000172,cultures,54.6307673412141
200000438,cultures,50.5889374604832
200000545,cultures,43
200000628,cultures,41.7019794542119
200000800,cultures,43
200000925,cultures,49.2214910147803
200000933,cultures,49.2444500743595
200004802,cultures,37.8023740950893
200005932,cultures,43
200005957,cultures,52.7285407302583
200006682,cultures,50.7971781450022
200006716,cultures,41.689807973607
200006930,cultures,52
200006971,cultures,49.6663705535539
200007052,cultures,49.5074493689669
200007177,cultures,49.9448569360896
200010650,cultures,49.8400364411755
200010700,cultures,50.7916827306327
200011773,cultures,55
200011781,cultures,49.9943776302621
200012060,cultures,54.7227556644172
200013050,cultures,52.842237997478
200015162,cultures,42.729216353063
200016905,cultures,51.671381292299
200017341,cultures,47.006005391186
200017846,cultures,43
200018083,cultures,50.0351286246618
200018166,cultures,52
200018406,cultures,42.8758649576677
200018521,cultures,49.0703706971227
200022986,cultures,40.5199820714536
200023075,cultures,54.9957377764665
200023125,cultures,43
200023240,cultures,41.7720981709156
200023299,cultures,52.3765072883087
200023307,cultures,50.1322256306917
200023372,cultures,52.0874567816043
200023414,cultures,50.0783048841839
200023620,cultures,41.8938859022619
200023737,cultures,48.6715065835086
200023778,cultures,49.2271340742528
200023794,cultures,48.7195481204159
200023919,cultures,40.9979722433936
200026573,cultures,54.0049458543345
200027027,cultures,50.2188954596246
200027076,cultures,47.8448550993236
200027100,cultures,37.2055226799052
200027183,cultures,41.8011843044286
200027217,cultures,49.9032341003458
200027308,cultures,53.0779705383992
200029734,cultures,50.050090675441
200029999,cultures,51.7779385884175
200030195,cultures,48.875853851359
200030385,cultures,41.0846580659212
200030435,cultures,49.9352045650896
200030526,cultures,43
200030633,cultures,54.0531042404627
200030658,cultures,52
200030674,cultures,49.8142471633034
200032514,cultures,48.9684734788894
200033025,cultures,52.4518484821679
200033090,cultures,42.1904229423227
200033116,cultures,52
200033173,cultures,39.6365243825743
200033181,cultures,42.0944414854773
200033207,cultures,42.3273061606639
200033298,cultures,50.1181718468932
200033579,cultures,51.8951060574276
200033827,cultures,43.3185418477367
200033868,cultures,52
200034023,cultures,41.5483914320713
200034031,cultures,47.182930180177
200034049,cultures,44.3673046904059
200034056,cultures,42.2748321355098
200034064,cultures,45.638814370913
200034098,cultures,53.908459682033
200034130,cultures,41.0172639985149
200034197,cultures,50.1562933764323
200034205,cultures,42.8021436910138
200034270,cultures,44.5819969471333
200034379,cultures,39.8070365296237
200034411,cultures,39.4219083629718
200034601,cultures,48.9139151526804
200034635,cultures,44.3328880164559
200034692,cultures,40.7558800858299
200034700,cultures,40.7657733699781
200034718,cultures,43.0785706992205
200034726,cultures,43
200034825,cultures,50.7653614447931
200034833,cultures,49.7738049762709
200034874,cultures,54.0311066294759
200034882,cultures,53.4387368187216
200034957,cultures,43
200035087,cultures,39.989176270263
200035103,cultures,51.7836357230697
200035111,cultures,52.9124323791852
200035129,cultures,40.3943328707476
200035137,cultures,49.531090395442
200035202,cultures,50.362696381762
200035319,cultures,37.1002515325225
200035327,cultures,49.2143816052838
200035442,cultures,54.1765275892278
200035459,cultures,45.4576458051144
200035533,cultures,48.6216213268218
200035541,cultures,49.3640820521786
200035632,cultures,49.3404960121555
200035665,cultures,47.0065102829819
200035707,cultures,42.9803712280264
200035715,cultures,42.8785976316787
200035723,cultures,49.5070497612452
200035731,cultures,50.3548845942454
200035756,cultures,48.8991286681058
200035764,cultures,40.6911855879513
200035772,cultures,53.9653228001212
200035814,cultures,53.2095482579345
200035848,cultures,49.4270095120268
200035855,cultures,42.6843749144391
200035863,cultures,42.6525258055992
200035970,cultures,41.6970876664148
200036069,cultures,51.4433070932084
200036077,cultures,36.212298397367
200036135,cultures,48.7494103822358
200036150,cultures,51.9864307167947
200036465,cultures,52.597469152672
200036473,cultures,50.4153332527426
200036499,cultures,42.3374996385303
200036523,cultures,49.4581410340232
200036549,cultures,50.2044618292074
200036572,cultures,47.0744001898585
200037059,cultures,53.3498666367471
200037133,cultures,39.1870744764227
200038958,cultures,46.2276063410001
200038990,cultures,50.7580253968508
200039022,cultures,50.6318604763531
200039055,cultures,53.5751693235478
200039063,cultures,54.0009930387349
200039204,cultures,50.1338308960531
200039519,cultures,49.746078033194
200039642,cultures,49.5493470251762
200039709,cultures,49.489078660945
200039758,cultures,49.3770689146144
200039808,cultures,43.9869089652128
200039824,cultures,51.3753826199606
200039832,cultures,43.2885380352945
200039857,cultures,48.1923801753407
200039865,cultures,53.4442822822522
200039907,cultures,53.7292566956478
200039915,cultures,39.8049890782318
200039931,cultures,49.3866320259812
200039949,cultures,53.9552682013097
200040038,cultures,50.1829969689945
200040095,cultures,50
200040111,cultures,51.996376297337
200040137,cultures,44.7449110918504
200040178,cultures,48.9207492553614
200040202,cultures,41.7327257531959
200040210,cultures,46.6989055107498
200040244,cultures,49.6252587700777
200040251,cultures,39.1980647145429
200040277,cultures,42.273251115495
200040293,cultures,48.2216290312195
200040350,cultures,51.9886931517052
200040384,cultures,50
200040392,cultures,49.8352727892813
200040400,cultures,50.3473243291662
200040418,cultures,47.4616953995328
200040426,cultures,53.0737166061967
200040442,cultures,43
200040459,cultures,50.0535773876554
200040475,cultures,48.7862052400877
200040491,cultures,49.0791842216365
200040509,cultures,50.7718563284363
200040558,cultures,50.2411485786458
200040566,cultures,51.8833698991607
200040574,cultures,49.7467238700358
200040590,cultures,50.2915904599317
200040624,cultures,44.4840941961212
200040657,cultures,52
200040681,cultures,50.0977534174028
200040715,cultures,53.6093015390521
200040764,cultures,42.191536716169
200040772,cultures,43.677470538314
200040798,cultures,52
200040814,cultures,50
200040830,cultures,49.1734152842681
200040889,cultures,50.0400931027356
200040905,cultures,45.0095757267024
200040947,cultures,50.8826250937679
200040954,cultures,50.0621420044474
200041010,cultures,53.8235664713355
200041051,cultures,49.932206954393
200041150,cultures,49.0486053932724
200041168,cultures,49.0767982216478
200041283,cultures,41.0552797362933
200041317,cultures,48.6593099536419
200041325,cultures,43
200041333,cultures,49.5513122837281
200041366,cultures,48.6496164147832
200041416,cultures,49.5964848574808
200041440,cultures,49.7127023754603
200041465,cultures,51.9535542800073
200041499,cultures,48.133510995964
200041515,cultures,52
200041523,cultures,50.0647681475659
200041556,cultures,49.9930292365877
200041572,cultures,50.4574104257442
200041614,cultures,48.5681547931075
200041622,cultures,52
200041630,cultures,53.4025911890689
200041689,cultures,49.1494368371596
200041721,cultures,53.4471067820576
200041762,cultures,49.0039592080766
200041853,cultures,51.9898797524667
200041861,cultures,53.0653368818852
200041879,cultures,53.6064354575986
200041887,cultures,50.2919648672824
200041960,cultures,49.9212024511831
200041994,cultures,50.5002478205966
200042000,cultures,52.2436428736291
200042174,cultures,50.0104087649417
200042182,cultures,51.8290047227589
200042190,cultures,50.2272781180929
200042372,cultures,44.6624406606109
200042414,cultures,50.0036024772967
200042463,cultures,47.9560966962283
200042497,cultures,50.4948245109271
200042604,cultures,50.3655432912413
200042620,cultures,52
200042646,cultures,42.8139974575164
200042653,cultures,42.0508367084614
200042703,cultures,51.9849644268606
200042729,cultures,50.3269469496317
