EPCI_Siren,wood_composition,BO_harvest,BI_harvest,BE_harvest
1,coniferes,50.0506044130906,14.6438109033241,5.61275749320493
2,coniferes,0,0,0
3,coniferes,1711.1674428379,979.495846589969,477.946768516792
4,coniferes,239.365646920909,137.016197892658,66.8573013813572
200000172,coniferes,15745.2607908564,1324.09871367348,4753.02090535354
200000438,coniferes,2795.33044884507,1598.46047651245,779.793822927423
200000545,coniferes,45.167883685533,36.9086135258927,68.6343637909019
200000628,coniferes,192.432113613537,466.138211619457,92.423321640979
200000800,coniferes,10849.896191626,11964.6115537793,5462.10527455144
200000925,coniferes,133.794756404019,57.8815590373184,72.274383843583
200000933,coniferes,21183.1748367127,23359.528415827,10664.1325376601
200004802,coniferes,1426.73232332718,3511.95648818999,685.929001599608
200005932,coniferes,12294.3301815154,13557.4462960546,6189.26896124232
200005957,coniferes,27001.08610623,9363.27985941847,10825.8584831496
200006682,coniferes,10815.0854568,4678.76338494985,5842.18439208153
200006682,coniferes,10815.0854568,4678.76338494985,5842.18439208153
200006716,coniferes,181.664856831112,148.952612714355,277.219231154483
200006930,coniferes,37689.5050107722,17491.4807494792,27422.1739528501
200006971,coniferes,423.058795190926,465.034043798778,212.717543640941
200007052,coniferes,1289.17662301287,1414.84229075408,646.596599559806
200007177,coniferes,51.6284765322208,56.932772066353,25.9910481172481
200010650,coniferes,7678.56260028928,1792.95784402368,2280.06621048861
200010700,coniferes,4383.96309064659,3477.66302863792,2992.89787919142
200011773,coniferes,4604.20296627925,387.190743050906,1389.87046590709
200011781,coniferes,1021.53187663608,1124.34529122447,514.381655104736
200012060,coniferes,19526.2072631465,4533.54269090547,5785.23430288474
200013050,coniferes,14859.8348042465,2810.2805630573,7810.73812049624
200015162,coniferes,22.0555886376998,0,249.534100251703
200016905,coniferes,31284.9418804464,2630.90918921487,9443.98347894528
200017341,coniferes,13572.865927629,6364.6185888981,9970.35378273254
200017846,coniferes,651.252497087049,1352.29058472842,2892.54107679254
200018083,coniferes,25.2533270456665,21.0444392047221,498.268703079637
200018166,coniferes,74146.9597942331,6235.39332821704,22382.7381871667
200018406,coniferes,8341.6523112104,9198.67138427996,4199.39345804085
200018521,coniferes,44.8044793488515,49.4076792819527,22.5556796721958
200022986,coniferes,1720.13397345006,806.312800054717,1265.91793088361
200023075,coniferes,48867.2014525679,11383.0787733006,14476.9935310475
200023125,coniferes,3.34797298344517,7.00030714720353,15.0658784255032
200023240,coniferes,1228.47693845259,2561.94776590777,5501.10588464728
200023299,coniferes,4690.04918355122,394.409986185294,1415.78485822862
200023307,coniferes,1325.08558130614,971.051979674962,310.193072658503
200023372,coniferes,7632.73666662163,641.875478363062,2304.09374753443
200023414,coniferes,8580.82928479638,6806.90784611252,5858.06614635138
200023620,coniferes,900.870421740092,488.258014836233,141.405710282677
200023620,coniferes,900.870421740092,488.258014836233,141.405710282677
200023737,coniferes,8826.92787886668,4784.06014808804,1385.52446190226
200023778,coniferes,3398.03220784488,1945.08050518017,949.105547708397
200023794,coniferes,1285.12839743534,941.77047284449,300.839381233194
200023919,coniferes,281.178863465175,581.999839254731,1243.9289325416
200026573,coniferes,75220.3655599097,17490.6710681072,22285.3377372211
200027027,coniferes,6192.78924787975,1813.31499357205,695.322740632874
200027076,coniferes,837.414300210819,923.450015985903,421.575007297912
200027100,coniferes,563.078398894963,1386.03913574145,270.710768699501
200027183,coniferes,591.172811191809,277.11225524616,435.06858970849
200027217,coniferes,13348.9894544671,9782.43429654049,3124.90311130361
200027308,coniferes,9102.22464094141,7411.06323849492,13766.1750707961
200029734,coniferes,11821.1582869858,9962.1858144356,4575.93224012353
200029999,coniferes,6348.03223015479,533.838176576089,1916.28009840939
200030195,coniferes,19333.1542118091,47589.3026752224,9294.78567875439
200030385,coniferes,2272.07967064607,2505.51251352066,1143.82093008552
200030435,coniferes,941.844950813492,626.027850484634,194.541972021356
200030435,coniferes,941.844950813492,626.027850484634,194.541972021356
200030526,coniferes,184.612158840907,34.9008523428573,97.0474000477927
200030526,coniferes,184.612158840907,34.9008523428573,97.0474000477927
200030633,coniferes,73.7100243814567,60.8163528083615,1437.12969881746
200030658,coniferes,33987.5459925593,2879.96728307081,10261.4575131118
200030674,coniferes,2140.77655475041,1568.80834027569,501.140505007045
200032514,coniferes,159.072910786322,175.109569984698,80.0980377147735
200033025,coniferes,5633.2858620513,1954.20542932893,2260.34814489338
200033090,coniferes,0,0,0
200033116,coniferes,13409.5182659798,1127.67429659062,4047.93045320246
200033173,coniferes,159.255887181792,332.989582289202,716.651492318066
200033181,coniferes,93.2922586642767,102.877079759922,46.9656233686599
200033207,coniferes,1611.17134583098,1776.70264848485,811.103383003952
200033298,coniferes,4060.79376655469,2324.45436292441,1134.2217072101
200033579,coniferes,21.9980164230777,18.3316803525648,434.038774123919
200033827,coniferes,1739.63849350357,0,19682.04673067
200033868,coniferes,28207.9292781591,9756.57703063207,11310.3512236682
200034023,coniferes,1636.50644566761,886.96150872061,256.875296099543
200034023,coniferes,1636.50644566761,886.96150872061,256.875296099543
200034031,coniferes,6441.70137576527,3491.30379907889,1011.1258361769
200034049,coniferes,3286.29532068231,1781.12189136217,515.835477339924
200034056,coniferes,1612.18996008708,873.782344780022,253.058443162524
200034064,coniferes,1380.2774654523,748.089313336743,216.656147964602
200034098,coniferes,9807.54819718454,824.766393181881,2960.60397034206
200034130,coniferes,59.654488413871,124.732112138094,268.445197862419
200034197,coniferes,17216.7926609371,12616.8459101162,4030.32822344672
200034205,coniferes,2.66362296040567,0,30.1358884477239
200034270,coniferes,20822.9480212181,3936.56971888731,10946.2615002028
200034379,coniferes,2759.39848677479,1293.46804067568,2030.75578808263
200034411,coniferes,6649.04247009853,3116.73865785869,4893.30611221063
200034601,coniferes,43462.6496422519,20384.8960454221,31892.8443302917
200034635,coniferes,5.08123272643142,0.960604947248916,2.67111564175404
200034692,coniferes,3759.5758265969,1766.02751427122,2762.27665580675
200034700,coniferes,1380.37884366966,3397.85561518686,663.643674841184
200034700,coniferes,1380.37884366966,3397.85561518686,663.643674841184
200034718,coniferes,1728.98100371437,1412.82447732088,2627.25417959972
200034726,coniferes,413.386043832269,224.04892451978,64.8874085977179
200034825,coniferes,7836.47967576879,3031.09119534453,1954.68252327563
200034833,coniferes,41932.4268258056,30729.0084928986,9816.08169662767
200034874,coniferes,2815.37602442214,976.299750404452,1128.8013488544
