epci_insee_id,aldo_biomass_category,biomass_carbon_content
1,conifere,71.0608606642698
1,feuillu,82.281353897693
1,mixte,80.1357663047339
2,conifere,39.7104809594449
2,feuillu,41.1406769488465
2,mixte,41.6347836108394
3,conifere,77.3697211285485
3,feuillu,94.9460555394728
3,mixte,79.1909331035093
4,conifere,45.0764822229781
4,feuillu,72.9972823485255
4,mixte,58.8320667736962
200000172,conifere,69.62626755627
200000172,feuillu,82.9009149343002
200000172,mixte,82.4445415987077
200000438,conifere,79.4209619188898
200000438,feuillu,82.281353897693
200000438,mixte,83.2695672216787
200000545,conifere,77.3697211285485
200000545,feuillu,94.9460555394728
200000545,mixte,79.1909331035093
200000628,conifere,34.6246783719403
200000628,feuillu,37.7066856420856
200000628,mixte,35.9823175713765
200000800,conifere,77.3697211285485
200000800,feuillu,94.9460555394728
200000800,mixte,79.1909331035093
200000925,conifere,86.2327730355441
200000925,feuillu,94.4673300737617
200000925,mixte,94.992996561636
200000933,conifere,77.3697211285485
200000933,feuillu,94.9460555394728
200000933,mixte,79.1909331035092
200004802,conifere,40.8356974983911
200004802,feuillu,39.3805325292838
200004802,mixte,37.6388653325436
200005932,conifere,77.3697211285485
200005932,feuillu,94.9460555394728
200005932,mixte,79.1909331035093
200005957,conifere,107.706660631727
200005957,feuillu,100.815610358535
200005957,mixte,110.905190864568
200006682,conifere,86.2327730355441
200006682,conifere,86.2327730355441
200006682,feuillu,94.4673300737617
200006682,feuillu,94.4673300737617
200006682,mixte,94.9929965616359
200006682,mixte,94.9929965616359
200006716,conifere,77.3697211285485
200006716,feuillu,94.9460555394728
200006716,mixte,79.1909331035093
200006930,conifere,94.0229442679184
200006930,feuillu,86.0739462399316
200006930,mixte,83.2231755699963
200006971,conifere,77.3697211285486
200006971,feuillu,94.9460555394728
200006971,mixte,79.1909331035092
200007052,conifere,93.9814724892093
200007052,feuillu,86.2685246286334
200007052,mixte,83.2231755699962
200007177,conifere,77.3697211285485
200007177,feuillu,94.9460555394728
200007177,mixte,79.1909331035092
200010650,conifere,86.2327730355441
200010650,feuillu,94.4673300737617
200010650,mixte,94.992996561636
200010700,conifere,77.3697211285485
200010700,feuillu,94.9460555394728
200010700,mixte,79.1909331035092
200011773,conifere,69.3987387835707
200011773,feuillu,92.73932577261
200011773,mixte,88.3636357709157
200011781,conifere,77.3697211285486
200011781,feuillu,94.9458789291216
200011781,mixte,79.1909331035093
200012060,conifere,114.019609009048
200012060,feuillu,92.136245130407
200012060,mixte,105.498303836674
200013050,conifere,109.227938009491
200013050,feuillu,108.322843291136
200013050,mixte,113.49647830048
200015162,conifere,127.901528561208
200015162,feuillu,80.2855618972943
200015162,mixte,112.675654866816
200016905,conifere,94.0229442679184
200016905,feuillu,86.0739462399316
200016905,mixte,83.2231755699963
200017341,conifere,86.187239860463
200017341,feuillu,71.9755933240346
200017341,mixte,69.917768756232
200017846,conifere,77.3697211285485
200017846,feuillu,94.9460555394728
200017846,mixte,79.1909331035092
200018083,conifere,77.3697211285485
200018083,feuillu,94.9460555394728
200018083,mixte,79.1909331035093
200018166,conifere,68.6755271342045
200018166,feuillu,88.1317726189246
200018166,mixte,81.631772241064
200018406,conifere,77.3697211285485
200018406,feuillu,94.9460555394728
200018406,mixte,79.1909331035093
200018521,conifere,77.3697211285485
200018521,feuillu,93.7588568998111
200018521,mixte,79.1909331035093
200022986,conifere,35.2481849680218
200022986,feuillu,39.3095134460575
200022986,mixte,36.4149047480208
200023075,conifere,113.899128640263
200023075,feuillu,91.9779529779439
200023075,mixte,105.333443172768
200023125,conifere,77.3697211285485
200023125,feuillu,94.9460555394728
200023125,mixte,79.1909331035093
200023240,conifere,77.3697211285485
200023240,feuillu,94.9460555394728
200023240,mixte,79.1909331035093
200023299,conifere,68.2178583696724
200023299,feuillu,74.7719265928409
200023299,mixte,78.3244488341402
200023307,conifere,45.1723896319632
200023307,feuillu,72.9972823485254
200023307,mixte,58.8320667736962
200023372,conifere,68.2002673798916
200023372,feuillu,74.7719265928409
200023372,mixte,78.3244488341402
200023414,conifere,77.3697211285485
200023414,feuillu,94.9460555394728
200023414,mixte,79.1909331035093
200023620,conifere,45.1723896319632
200023620,conifere,45.1723896319632
200023620,feuillu,72.9972823485255
200023620,feuillu,72.9972823485255
200023620,mixte,58.8320667736962
200023620,mixte,58.8320667736962
