EPCI_Siren,epci_area_surface,aldo_biomass_category,biomass_carbon_content
200023620,23804.9,feuillu,72.9972823485255
200023620,23804.9,feuillu,72.9972823485255
200023620,23804.9,mixte,58.8320667736962
200023620,23804.9,mixte,58.8320667736962
200023737,59435.8,conifere,45.1723896319632
200023737,59435.8,feuillu,72.9972823485255
200023737,59435.8,mixte,58.8320667736962
200023778,29314.8,conifere,55.0231169668374
200023778,29314.8,feuillu,81.4947435992128
200023778,29314.8,mixte,74.3524320672946
200023794,21101.9,conifere,45.1723896319632
200023794,21101.9,feuillu,72.9972823485254
200023794,21101.9,mixte,58.8320667736962
200023919,32296.1,conifere,77.3697211285485
200023919,32296.1,feuillu,94.9460555394728
200023919,32296.1,mixte,79.1909331035093
200026573,37690.9,conifere,114.019609009048
200026573,37690.9,feuillu,92.1362451304069
200026573,37690.9,mixte,105.498303836674
200027027,35572.1,conifere,79.4209619188898
200027027,35572.1,feuillu,82.281353897693
200027027,35572.1,mixte,83.2695672216788
200027076,37998.2,conifere,77.3697211285485
200027076,37998.2,feuillu,94.9460555394728
200027076,37998.2,mixte,79.1909331035093
200027100,43071.3,conifere,34.620006810596
200027100,43071.3,feuillu,37.706382238569
200027100,43071.3,mixte,35.9778759679632
200027183,64656.8,conifere,45.4752470331057
200027183,64656.8,feuillu,41.3754224531015
200027183,64656.8,mixte,41.9529627743459
200027217,23428,conifere,45.1723896319632
200027217,23428,feuillu,72.9972823485254
200027217,23428,mixte,58.8320667736962
200027308,76522.1,conifere,86.2327730355441
200027308,76522.1,feuillu,94.4673300737617
200027308,76522.1,mixte,94.992996561636
200029734,62885.3,conifere,45.1723896319632
200029734,62885.3,feuillu,72.9972823485255
200029734,62885.3,mixte,58.8320667736962
200029999,17059.3,conifere,110.391000070326
200029999,17059.3,feuillu,92.6190844018001
200029999,17059.3,mixte,105.412133341907
200030195,146337.7,conifere,65.1720210264044
200030195,146337.7,feuillu,60.3118220216229
200030195,146337.7,mixte,61.1773008710445
200030385,79337.4,conifere,77.3697211285485
200030385,79337.4,feuillu,94.9460555394728
200030385,79337.4,mixte,79.1909331035093
200030435,30227.5,conifere,45.1723896319632
200030435,30227.5,conifere,45.1723896319632
200030435,30227.5,feuillu,72.9972823485255
200030435,30227.5,feuillu,72.9972823485255
200030435,30227.5,mixte,58.8320667736962
200030435,30227.5,mixte,58.8320667736962
200030526,18573.5,conifere,86.2327730355441
200030526,18573.5,conifere,86.2327730355441
200030526,18573.5,feuillu,94.4673300737617
200030526,18573.5,feuillu,94.4673300737617
200030526,18573.5,mixte,94.992996561636
200030526,18573.5,mixte,94.992996561636
200030633,37337.6,conifere,77.3697211285486
200030633,37337.6,feuillu,94.9460555394728
200030633,37337.6,mixte,79.1909331035092
200030658,63606.8,conifere,68.2178583696723
200030658,63606.8,feuillu,74.7719265928409
200030658,63606.8,mixte,78.3244488341402
200030674,67151.3,conifere,45.1723896319632
200030674,67151.3,feuillu,72.9972823485255
200030674,67151.3,mixte,58.8320667736962
200032514,27802.9,conifere,77.3697211285485
200032514,27802.9,feuillu,94.9460555394728
200032514,27802.9,mixte,79.1909331035092
200033025,40065.3,conifere,85.9314958993036
200033025,40065.3,feuillu,94.5024927890958
200033025,40065.3,mixte,94.5062112752751
200033090,14478.3,conifere,77.3697211285485
200033090,14478.3,feuillu,94.9460555394728
200033090,14478.3,mixte,79.1909331035093
200033116,20259.2,conifere,68.4919936829666
200033116,20259.2,feuillu,77.0596205624466
200033116,20259.2,mixte,79.2815294164196
200033173,8490.8,conifere,77.3697211285485
200033173,8490.8,feuillu,94.9460555394728
200033173,8490.8,mixte,79.1909331035093
200033181,85445.1000000002,conifere,77.3697211285485
200033181,85445.1000000002,feuillu,94.9460555394728
200033181,85445.1000000002,mixte,79.1909331035093
200033207,26148.7,conifere,77.3697211285486
200033207,26148.7,feuillu,94.9460555394728
200033207,26148.7,mixte,79.1909331035093
200033298,78915.1,conifere,79.4209619188898
200033298,78915.1,feuillu,82.281353897693
200033298,78915.1,mixte,83.2695672216788
200033579,30669.7,conifere,77.3697211285486
200033579,30669.7,feuillu,94.9460555394728
200033579,30669.7,mixte,79.1909331035093
200033827,64972.9,conifere,127.976507737865
200033827,64972.9,feuillu,80.2855618972943
200033827,64972.9,mixte,112.675654866816
200033868,19423,conifere,109.626704754577
200033868,19423,feuillu,108.941230570686
200033868,19423,mixte,113.801008882482
200034023,29103.2,conifere,45.1723896319632
200034023,29103.2,conifere,45.1723896319632
200034023,29103.2,feuillu,72.9972823485255
200034023,29103.2,feuillu,72.9972823485255
200034023,29103.2,mixte,58.8320667736962
200034023,29103.2,mixte,58.8320667736962
200034031,34087.8,conifere,92.6896629109639
200034031,34087.8,feuillu,84.7286664278273
200034031,34087.8,mixte,82.1941207638136
200034049,33544.2,conifere,82.1016351779534
200034049,33544.2,feuillu,79.3401053487933
200034049,33544.2,mixte,75.2795321629716
200034056,39729.3,conifere,45.1723896319632
