EPCI_Siren,aldo_biomass_category,biomass_carbon_content
200040772,prairies zones arborées,48
200040798,prairies zones arborées,57
200040814,prairies zones arborées,31
200040830,prairies zones arborées,31
200040889,prairies zones arborées,31
200040905,prairies zones arborées,44
200040947,prairies zones arborées,48
200040954,prairies zones arborées,48
200041010,prairies zones arborées,57
200041051,prairies zones arborées,31
200041150,prairies zones arborées,31
200041168,prairies zones arborées,31
200041283,prairies zones arborées,48
200041317,prairies zones arborées,31
200041325,prairies zones arborées,48
200041333,prairies zones arborées,31
200041366,prairies zones arborées,57
200041416,prairies zones arborées,31
200041440,prairies zones arborées,31
200041465,prairies zones arborées,57
200041499,prairies zones arborées,31
200041515,prairies zones arborées,48
200041523,prairies zones arborées,31
200041556,prairies zones arborées,31
200041572,prairies zones arborées,31
200041614,prairies zones arborées,31
200041622,prairies zones arborées,48
200041630,prairies zones arborées,48
200041689,prairies zones arborées,31
200041721,prairies zones arborées,48
200041762,prairies zones arborées,31
200041853,prairies zones arborées,48
200041861,prairies zones arborées,48
200041879,prairies zones arborées,48
200041887,prairies zones arborées,48
200041960,prairies zones arborées,48
200041994,prairies zones arborées,31
200042000,prairies zones arborées,48
200042174,prairies zones arborées,48
200042182,prairies zones arborées,48
200042190,prairies zones arborées,48
200042372,prairies zones arborées,44
200042414,prairies zones arborées,48
200042463,prairies zones arborées,44
200042497,prairies zones arborées,57
200042604,prairies zones arborées,48
200042620,prairies zones arborées,48
200042646,prairies zones arborées,44
200042653,prairies zones arborées,44
200042703,prairies zones arborées,48
200042729,prairies zones arborées,48
200042901,prairies zones arborées,57
200042935,prairies zones arborées,57
200042943,prairies zones arborées,44
200042992,prairies zones arborées,48
200043016,prairies zones arborées,31
200043065,prairies zones arborées,48
200043081,prairies zones arborées,48
200043123,prairies zones arborées,48
200043156,prairies zones arborées,48
200043172,prairies zones arborées,31
200043263,prairies zones arborées,48
200043321,prairies zones arborées,48
200043354,prairies zones arborées,48
200043396,prairies zones arborées,48
200043404,prairies zones arborées,48
200043438,prairies zones arborées,48
200043495,prairies zones arborées,48
200043602,prairies zones arborées,44
200043628,prairies zones arborées,31
200043693,prairies zones arborées,48
200043776,prairies zones arborées,44
200043974,prairies zones arborées,31
200043982,prairies zones arborées,31
200043990,prairies zones arborées,48
200044014,prairies zones arborées,31
200044030,prairies zones arborées,48
200044048,prairies zones arborées,48
200044253,prairies zones arborées,48
200044394,prairies zones arborées,31
200044469,prairies zones arborées,44
200044618,prairies zones arborées,48
200046977,prairies zones arborées,57
200048551,prairies zones arborées,48
200049187,prairies zones arborées,48
200049211,prairies zones arborées,44
200049484,prairies zones arborées,48
200054781,prairies zones arborées,48
200054807,prairies zones arborées,44
200055481,prairies zones arborées,48
200055655,prairies zones arborées,48
200055887,prairies zones arborées,48
200056232,prairies zones arborées,48
200056380,prairies zones arborées,48
200057859,prairies zones arborées,48
200057958,prairies zones arborées,48
200058360,prairies zones arborées,48
200058477,prairies zones arborées,48
200058485,prairies zones arborées,48
200058519,prairies zones arborées,48
200058782,prairies zones arborées,48
200059228,prairies zones arborées,48
200059392,prairies zones arborées,57
200059400,prairies zones arborées,31
200059889,prairies zones arborées,48
200060010,prairies zones arborées,48
200065563,prairies zones arborées,48
200065589,prairies zones arborées,48
200065597,prairies zones arborées,48
200065647,prairies zones arborées,48
200065787,prairies zones arborées,48
200065886,prairies zones arborées,57
200065894,prairies zones arborées,57
200065928,prairies zones arborées,48
200066009,prairies zones arborées,48
200066017,prairies zones arborées,48
200066025,prairies zones arborées,48
200066033,prairies zones arborées,48
200066041,prairies zones arborées,48
200066058,prairies zones arborées,48
200066108,prairies zones arborées,48
200066116,prairies zones arborées,48
200066124,prairies zones arborées,44
200066132,prairies zones arborées,48
200066140,prairies zones arborées,48
200066157,prairies zones arborées,48
200066165,prairies zones arborées,48
200066173,prairies zones arborées,48
200066223,prairies zones arborées,44
200066231,prairies zones arborées,44
200066280,prairies zones arborées,48
200066322,prairies zones arborées,44
200066330,prairies zones arborées,48
200066348,prairies zones arborées,44
200066355,prairies zones arborées,44
200066363,prairies zones arborées,44
200066371,prairies zones arborées,44
200066389,prairies zones arborées,48
200066405,prairies zones arborées,48
200066413,prairies zones arborées,48
200066462,prairies zones arborées,48
200066512,prairies zones arborées,31
200066520,prairies zones arborées,31
200066553,prairies zones arborées,44
200066561,prairies zones arborées,44
200066587,prairies zones arborées,57
200066603,prairies zones arborées,31
200066637,prairies zones arborées,57
200066645,prairies zones arborées,31
200066652,prairies zones arborées,44
200066660,prairies zones arborées,57
200066678,prairies zones arborées,57
200066710,prairies zones arborées,48
200066728,prairies zones arborées,48
200066744,prairies zones arborées,31
200066751,prairies zones arborées,31
200066769,prairies zones arborées,31
200066777,prairies zones arborées,48
200066785,prairies zones arborées,48
200066793,prairies zones arborées,57
200066801,prairies zones arborées,48
200066819,prairies zones arborées,44
200066827,prairies zones arborées,48
200066835,prairies zones arborées,48
200066850,prairies zones arborées,48
200066868,prairies zones arborées,48
200066876,prairies zones arborées,48
200066884,prairies zones arborées,44
200066892,prairies zones arborées,48
200066918,prairies zones arborées,44
200066926,prairies zones arborées,44
200066975,prairies zones arborées,48
200067023,prairies zones arborées,48
200067031,prairies zones arborées,48
200067049,prairies zones arborées,44
200067064,prairies zones arborées,44
200067072,prairies zones arborées,48
200067080,prairies zones arborées,48
200067106,prairies zones arborées,31
200067114,prairies zones arborées,48
200067122,prairies zones arborées,44
200067130,prairies zones arborées,48
200067155,prairies zones arborées,44
200067163,prairies zones arborées,44
200067171,prairies zones arborées,44
200067189,prairies zones arborées,31
200067197,prairies zones arborées,48
200067205,prairies zones arborées,48
200067213,prairies zones arborées,48
200067221,prairies zones arborées,48
200067239,prairies zones arborées,31
200067247,prairies zones arborées,48
200067254,prairies zones arborées,31
200067262,prairies zones arborées,31
200067288,prairies zones arborées,31
200067296,prairies zones arborées,31
200067304,prairies zones arborées,48
200067320,prairies zones arborées,44
200067346,prairies zones arborées,48
200067361,prairies zones arborées,44
200067379,prairies zones arborées,48
200067429,prairies zones arborées,48
200067437,prairies zones arborées,44
200067445,prairies zones arborées,44
200067452,prairies zones arborées,44
200067460,prairies zones arborées,48
200067478,prairies zones arborées,44
200067486,prairies zones arborées,48
200067502,prairies zones arborées,48
200067510,prairies zones arborées,31
200067544,prairies zones arborées,31
200067551,prairies zones arborées,57
200067593,prairies zones arborées,31
200067627,prairies zones arborées,57
200067635,prairies zones arborées,48
200067643,prairies zones arborées,48
200067650,prairies zones arborées,48
200067668,prairies zones arborées,48
200067676,prairies zones arborées,48
200067684,prairies zones arborées,48
200067692,prairies zones arborées,48
200067700,prairies zones arborées,48
200067742,prairies zones arborées,44
200067759,prairies zones arborées,48
200067767,prairies zones arborées,57
200067783,prairies zones arborées,48
200067791,prairies zones arborées,44
200067817,prairies zones arborées,57
200067825,prairies zones arborées,44
200067841,prairies zones arborées,48
200067866,prairies zones arborées,48
200067874,prairies zones arborées,48
200067882,prairies zones arborées,48
200067890,prairies zones arborées,48
200067908,prairies zones arborées,48
200067916,prairies zones arborées,48
200067924,prairies zones arborées,48
200067932,prairies zones arborées,48
200067940,prairies zones arborées,44
200067957,prairies zones arborées,48
200067965,prairies zones arborées,48
200067973,prairies zones arborées,48
200067981,prairies zones arborées,48
200067999,prairies zones arborées,48
200068005,prairies zones arborées,48
200068047,prairies zones arborées,48
200068070,prairies zones arborées,48
200068088,prairies zones arborées,48
200068096,prairies zones arborées,44
