SIREN_EPCI,SUPERFICIE_EPCI,COMPOSITION,SUPERFICIE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC∙ha-1),PRODUCTION (m3∙ha-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2/an),BILAN_CO2_HA (tCO2/ha/an),Fexp (VOL -> CARB)
1,316.2,Conifere,7.6,209.023075634115,71.0608606642698,10.7485633465835,6.98593413821566,0.687488653122209,0.694352676136661,3.0751405552456,1.05588817125444,-29.4240837056237,-3.87158996126627,0.304180626350203
1,316.2,Feuillu,2.6,153.401057216294,82.281353897693,5.56732087063018,1.62887841706316,0.684233456264855,0.333575518691564,3.25420899730216,1.69898813936357,-16.1970202619327,-6.22962317766643,0.536380618170559
1,316.2,Mixte,18.6,193.046726637611,80.1357663047339,8.42415146036087,1.2949771484037,0.761714375600956,0.169003299352281,6.36745993635622,2.47909857022108,-169.074522489077,-9.09002809081061,0.399488276621987
1,316.2,total,28.8,158.056678899431,75.1585864533529,6.44381577272224,2.45110165097371,0.650163401116505,0.423066745078869,3.34255072063203,1.56242205969136,-164.991769503407,-5.72888088553497,0.450750181759621
2,1675.9,Conifere,4.21495889711673,116.807012854358,39.7104809594449,6.0065501054437,3.90390437135581,0.384184835568293,0.34717633806833,1.7184608985196,0.590055154524539,-9.1192134856269,-2.16353556658998,0.169983291195702
2,1675.9,Feuillu,115.123673144145,76.700528608147,41.1406769488465,2.78366043531509,0.814439208531582,0.342116728132427,0.166787759345782,1.62710449865108,0.849494069681786,-358.588551258429,-3.11481158883321,0.268190309085279
2,1675.9,Mixte,2.97342397445116,100.298019984904,41.6347836108394,4.37679377549476,0.672809356433205,0.395751044306642,0.0845016496761403,3.30823337475491,1.28802327950034,-14.0427440960308,-4.72275202483456,0.207555361596898
2,1675.9,total,123.819634136092,83.3705559029967,39.6440895578125,3.39893579220514,1.29288878293119,0.342943332457057,0.211533372539434,1.7631036768169,0.824134712804232,-374.161548267003,-3.02182728028218,0.237758337631449
3,11443.8,Conifere,314.5,219.453001612021,77.3697211285485,10.2732845163684,5.80613400677405,0.461330967061073,0.591740877858513,4.00581954253325,1.45861450030951,-1682.02562127358,-5.34825316780153,0.352557133236816
3,11443.8,Feuillu,755.5,182.806959597061,94.9460555394728,5.77281423964708,2.60558057375634,0.517566267401817,0.495805447719554,2.64966739848892,1.34283332816969,-3719.87212458473,-4.92372220328885,0.519378779389748
