SIREN_EPCI,SURFACE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC),STOCK_CARBONE (tC∙ha-1),PRODUCTION (m3∙ha-1∙an-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2∙an-1),BILAN_CO2_HA (tCO2∙ha-1∙an-1),Fexp (VOL -> CARB)
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,227.8,160.945551674391,11910.7144943156,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,436.752512520991,1.91726300492095,-1601.42587924364,-7.0299643513768,0.324866640182257
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000172,0.1,174.493316637929,5.17968434632023,51.7968434632023,17.9543779775962,14.1132023719751,0.225034211738078,0.796036365381626,3.61614139388303,0.102056309199591,1.02056309199591,-0.374206467065165,-3.74206467065165,0.296841417546553
200000438,82.3,160.945551674391,4303.12468341605,52.2858406247394,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,157.790745304994,1.91726300492095,-578.566066118311,-7.0299643513768,0.324866640182257
200000545,1051.5,168.50839466857,56963.3731450697,54.1734409368233,12.3758885485787,8.20555534954003,0.499704116971794,0.690925220704897,3.67062908206683,1107.92462817181,1.05366108242683,-4062.39030329665,-3.86342396889838,0.321488083981657
200000628,11.4,174.493316637929,590.484015480507,51.7968434632023,17.9543779775962,14.1132023719751,0.225034211738078,0.796036365381626,3.61614139388303,11.6344192487533,1.02056309199591,-42.6595372454289,-3.74206467065165,0.296841417546553
200000800,31.8,160.945551674391,1662.68973186671,52.2858406247394,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,60.9689635564861,1.91726300492095,-223.552866373782,-7.0299643513768,0.324866640182257
200000925,136.7,168.50839466857,7405.50937606374,54.1734409368233,12.3758885485787,8.20555534954004,0.499704116971795,0.690925220704897,3.67062908206683,144.035469967748,1.05366108242683,-528.130056548409,-3.86342396889838,0.321488083981657
200000933,247.1,160.945551674391,12919.8312183731,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,473.755688515966,1.91726300492095,-1737.10419122521,-7.0299643513768,0.324866640182257
200004802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200005932,33,160.945551674391,1725.4327406164,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,63.2696791623912,1.91726300492095,-231.988823595434,-7.0299643513768,0.324866640182257
200005957,77.7,168.50839466857,4209.27636079117,54.1734409368233,12.3758885485787,8.20555534954003,0.499704116971795,0.690925220704897,3.67062908206683,81.8694661045648,1.05366108242683,-300.188042383404,-3.86342396889838,0.321488083981657
200006682,190.3,168.50839466857,10309.2058102775,54.1734409368233,12.3758885485787,8.20555534954003,0.499704116971794,0.690925220704897,3.67062908206683,200.511703985826,1.05366108242683,-735.209581281362,-3.86342396889838,0.321488083981657
200006682,190.3,168.50839466857,10309.2058102775,54.1734409368233,12.3758885485787,8.20555534954003,0.499704116971794,0.690925220704897,3.67062908206683,200.511703985826,1.05366108242683,-735.209581281362,-3.86342396889838,0.321488083981657
200006716,1481.3,168.50839466857,80247.1180597163,54.1734409368233,12.3758885485787,8.20555534954004,0.499704116971794,0.690925220704897,3.67062908206683,1560.78816139886,1.05366108242683,-5722.88992512917,-3.86342396889838,0.321488083981657
200006930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200006971,67.4,160.945551674391,3524.06565810743,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,129.223526531672,1.91726300492095,-473.819597282796,-7.0299643513768,0.324866640182257
200007052,13,160.945551674391,679.715928121612,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,24.9244190639723,1.91726300492095,-91.3895365678984,-7.0299643513768,0.324866640182257
200007177,149.7,160.945551674391,7827.19034152348,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,287.014271836666,1.91726300492095,-1052.38566340111,-7.0299643513768,0.324866640182257
200010650,231.4,168.50839466857,12535.7342327809,54.1734409368233,12.3758885485787,8.20555534954003,0.499704116971794,0.690925220704897,3.67062908206683,243.817174473569,1.05366108242683,-893.996306403085,-3.86342396889838,0.321488083981657
200010700,92.3,169.993356073029,4917.84605615553,53.2811057004933,11.7132480463195,8.27472810333358,0.807804643669167,0.758770441312146,2.6307152993167,93.0800665970495,1.00845142575352,-341.293577522515,-3.69765522776289,0.313430518293926
200011773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200011781,135.8,160.945551674391,7100.4171568396,52.2858406247393,12.8582709104711,6.52872744375938,0.410754628565202,0.524500414050452,5.91878883814651,260.364316068264,1.91726300492095,-954.66915891697,-7.0299643513768,0.324866640182257
200012060,7.2,168.50839466857,390.048774745128,54.1734409368233,12.3758885485787,8.20555534954003,0.499704116971794,0.690925220704897,3.67062908206683,7.58635979347318,1.05366108242683,-27.8166525760683,-3.86342396889838,0.321488083981657
200013050,22.1,168.50839466857,1197.23304470379,54.1734409368233,12.3758885485787,8.20555534954004,0.499704116971794,0.690925220704897,3.67062908206683,23.285909921633,1.05366108242683,-85.3816697126542,-3.86342396889838,0.321488083981657
200015162,5.6,174.493316637929,290.062323393933,51.7968434632023,17.9543779775962,14.1132023719751,0.225034211738078,0.796036365381626,3.61614139388303,5.71515331517707,1.02056309199591,-20.9555621556493,-3.74206467065165,0.296841417546553
200016905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200017341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
