CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
01001,L'Abergement-Clémenciat,240100644,CC Chalaronne Centre,CC
01002,L'Abergement-de-Varey,240100883,CC de la Plaine de l'Ain,CC
01004,Ambérieu-en-Bugey,240100883,CC de la Plaine de l'Ain,CC
01005,Ambérieux-en-Dombes,240100735,CC Porte Ouest de la Dombes,CC
01006,Ambléon,240100354,CC de Belley-Bas Bugey,CC
01007,Ambronay,240100883,CC de la Plaine de l'Ain,CC
01008,Ambutrix,240100883,CC de la Plaine de l'Ain,CC
01009,Andert-et-Condon,240100354,CC de Belley-Bas Bugey,CC
01010,Anglefort,247400823,CC du Pays de Seyssel,CC
01011,Apremont,240100909,CC Lac de Nantua,CC
01012,Aranc,240100578,CC du Plateau d'Hauteville,CC
01013,Arandas,240100396,CC de la Vallée de l'Albarine,CC
01014,Arbent,240100172,CC d'Oyonnax,CC
01015,Arbignieu,240100354,CC de Belley-Bas Bugey,CC
01016,Arbigny,240100685,CC du Canton de Pont de Vaux,CC
01017,Argis,240100396,CC de la Vallée de l'Albarine,CC
01019,Armix,240100743,CC Bugey-Arène-Furans,CC
01021,Ars-sur-Formans,240100735,CC Porte Ouest de la Dombes,CC
01022,Artemare,240100370,CC du Valromey,CC
01023,Asnières-sur-Saône,240100818,CC du Pays de Bâgé,CC
01024,Attignat,240100156,CC de Montrevel en Bresse,CC
01025,Bâgé-la-Ville,240100818,CC du Pays de Bâgé,CC
01026,Bâgé-le-Châtel,240100818,CC du Pays de Bâgé,CC
01027,Balan,240100610,CC du Canton de Montluel,CC
01028,Baneins,240100644,CC Chalaronne Centre,CC
01029,Beaupont,240100651,CC du Canton de Coligny,CC
01030,Beauregard,240100735,CC Porte Ouest de la Dombes,CC
01031,Bellignat,240100172,CC d'Oyonnax,CC
01032,Béligneux,240100610,CC du Canton de Montluel,CC
01033,Bellegarde-sur-Valserine,240100891,CC du Pays Bellegardien,CC
01034,Belley,240100354,CC de Belley-Bas Bugey,CC
01035,Belleydoux,240100172,CC d'Oyonnax,CC
01036,Belmont-Luthézieu,240100370,CC du Valromey,CC
01037,Bénonces,240100412,CC Rhône - Chartreuse de Portes,CC
01038,Bény,240100651,CC du Canton de Coligny,CC
01039,Béon,240100438,CC du Colombier,CC
01040,Béréziat,240100156,CC de Montrevel en Bresse,CC
01041,Bettant,240100883,CC de la Plaine de l'Ain,CC
01042,Bey,240100826,CC du Canton de Pont de Veyle,CC
01043,Beynost,240100800,CC de Miribel et du Plateau,CC
01044,Billiat,240100891,CC du Pays Bellegardien,CC
01045,Birieux,240100875,CC Centre Dombes,CC
01046,Biziat,240100669,CC des Bords de Veyle,CC
01047,Blyes,240100883,CC de la Plaine de l'Ain,CC
01049,La Boisse,240100610,CC du Canton de Montluel,CC
01050,Boissey,240100685,CC du Canton de Pont de Vaux,CC
01051,Bolozon,240100701,CC des Monts Berthiand,CC
01052,Bouligneux,240100875,CC Centre Dombes,CC
01053,Bourg-en-Bresse,240100628,CA de Bourg en Bresse,CA
01054,Bourg-Saint-Christophe,240100883,CC de la Plaine de l'Ain,CC
01056,Boyeux-Saint-Jérôme,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01057,Boz,240100685,CC du Canton de Pont de Vaux,CC
01058,Brégnier-Cordon,240100347,CC Terre d'Eaux,CC
01059,Brénaz,240100370,CC du Valromey,CC
01060,Brénod,240100867,CC de la Combe du Val,CC
01061,Brens,240100354,CC de Belley-Bas Bugey,CC
01062,Bressolles,240100610,CC du Canton de Montluel,CC
01063,Brion,240100909,CC Lac de Nantua,CC
01064,Briord,240100412,CC Rhône - Chartreuse de Portes,CC
01065,Buellas,240100628,CA de Bourg en Bresse,CA
01066,La Burbanche,240100743,CC Bugey-Arène-Furans,CC
01067,Ceignes,240100701,CC des Monts Berthiand,CC
01068,Cerdon,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01069,Certines,240100842,CC Bresse Dombes Sud Revermont,CC
01071,Cessy,240100750,CC du Pays de Gex,CC
01072,Ceyzériat,240100693,CC de la Vallière,CC
01073,Ceyzérieu,240100438,CC du Colombier,CC
01074,Chalamont,240100677,CC du Canton de Chalamont,CC
01075,Chaleins,ZZZZZZZZZ,nd,nd
01076,Chaley,240100396,CC de la Vallée de l'Albarine,CC
01077,Challes-la-Montagne,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01078,Challex,240100750,CC du Pays de Gex,CC
01079,Champagne-en-Valromey,240100370,CC du Valromey,CC
01080,Champdor,240100578,CC du Plateau d'Hauteville,CC
01081,Champfromier,240100891,CC du Pays Bellegardien,CC
01082,Chanay,240100891,CC du Pays Bellegardien,CC
01083,Chaneins,240100941,CC Chanstrival,CC
01084,Chanoz-Châtenay,240100669,CC des Bords de Veyle,CC
01085,La Chapelle-du-Châtelard,240100875,CC Centre Dombes,CC
01087,Charix,240100909,CC Lac de Nantua,CC
01088,Charnoz-sur-Ain,240100883,CC de la Plaine de l'Ain,CC
01089,Château-Gaillard,240100883,CC de la Plaine de l'Ain,CC
01090,Châtenay,240100677,CC du Canton de Chalamont,CC
01091,Châtillon-en-Michaille,240100891,CC du Pays Bellegardien,CC
01092,Châtillon-la-Palud,240100677,CC du Canton de Chalamont,CC
01093,Châtillon-sur-Chalaronne,240100644,CC Chalaronne Centre,CC
01094,Chavannes-sur-Reyssouze,240100685,CC du Canton de Pont de Vaux,CC
01095,Chavannes-sur-Suran,240100636,CC de Treffort en Revermont,CC
01096,Chaveyriat,240100669,CC des Bords de Veyle,CC
01097,Chavornay,240100370,CC du Valromey,CC
01098,Chazey-Bons,240100354,CC de Belley-Bas Bugey,CC
01099,Chazey-sur-Ain,240100883,CC de la Plaine de l'Ain,CC
01100,Cheignieu-la-Balme,240100743,CC Bugey-Arène-Furans,CC
01101,Chevillard,240100867,CC de la Combe du Val,CC
01102,Chevroux,240100685,CC du Canton de Pont de Vaux,CC
01103,Chevry,240100750,CC du Pays de Gex,CC
01104,Chézery-Forens,240100750,CC du Pays de Gex,CC
01105,Civrieux,240100602,CC Saône-Vallée,CC
01106,Cize,240100693,CC de la Vallière,CC
01107,Cleyzieu,240100396,CC de la Vallée de l'Albarine,CC
01108,Coligny,240100651,CC du Canton de Coligny,CC
01109,Collonges,240100750,CC du Pays de Gex,CC
01110,Colomieu,240100347,CC Terre d'Eaux,CC
01111,Conand,240100396,CC de la Vallée de l'Albarine,CC
01112,Condamine,240100867,CC de la Combe du Val,CC
01113,Condeissiat,240100644,CC Chalaronne Centre,CC
01114,Confort,240100891,CC du Pays Bellegardien,CC
01115,Confrançon,240100156,CC de Montrevel en Bresse,CC
01116,Contrevoz,240100354,CC de Belley-Bas Bugey,CC
01117,Conzieu,240100354,CC de Belley-Bas Bugey,CC
01118,Corbonod,247400823,CC du Pays de Seyssel,CC
01119,Corcelles,240100578,CC du Plateau d'Hauteville,CC
01121,Corlier,240100578,CC du Plateau d'Hauteville,CC
01122,Cormaranche-en-Bugey,240100578,CC du Plateau d'Hauteville,CC
01123,Cormoranche-sur-Saône,240100826,CC du Canton de Pont de Veyle,CC
01124,Cormoz,240100339,CC du Canton de Saint Trivier de Courtes,CC
01125,Corveissiat,240100636,CC de Treffort en Revermont,CC
01127,Courmangoux,240100636,CC de Treffort en Revermont,CC
01128,Courtes,240100339,CC du Canton de Saint Trivier de Courtes,CC
01129,Crans,240100677,CC du Canton de Chalamont,CC
01130,Cras-sur-Reyssouze,240100156,CC de Montrevel en Bresse,CC
01133,Cressin-Rochefort,240100354,CC de Belley-Bas Bugey,CC
01134,Crottet,240100826,CC du Canton de Pont de Veyle,CC
01135,Crozet,240100750,CC du Pays de Gex,CC
01136,Cruzilles-lès-Mépillat,240100826,CC du Canton de Pont de Veyle,CC
01138,Culoz,240100438,CC du Colombier,CC
01139,Curciat-Dongalon,240100339,CC du Canton de Saint Trivier de Courtes,CC
01140,Curtafond,240100156,CC de Montrevel en Bresse,CC
01141,Cuzieu,240100743,CC Bugey-Arène-Furans,CC
01142,Dagneux,240100610,CC du Canton de Montluel,CC
01143,Divonne-les-Bains,240100750,CC du Pays de Gex,CC
01144,Dommartin,240100818,CC du Pays de Bâgé,CC
01145,Dompierre-sur-Veyle,240100628,CA de Bourg en Bresse,CA
01146,Dompierre-sur-Chalaronne,240100644,CC Chalaronne Centre,CC
01147,Domsure,240100651,CC du Canton de Coligny,CC
01148,Dortan,240100172,CC d'Oyonnax,CC
01149,Douvres,240100883,CC de la Plaine de l'Ain,CC
01150,Drom,240100636,CC de Treffort en Revermont,CC
01151,Druillat,240100842,CC Bresse Dombes Sud Revermont,CC
01152,Échallon,240100172,CC d'Oyonnax,CC
01153,Échenevex,240100750,CC du Pays de Gex,CC
01154,Étrez,240100156,CC de Montrevel en Bresse,CC
01155,Évosges,240100396,CC de la Vallée de l'Albarine,CC
01156,Faramans,240100883,CC de la Plaine de l'Ain,CC
01157,Fareins,240100735,CC Porte Ouest de la Dombes,CC
01158,Farges,240100750,CC du Pays de Gex,CC
01159,Feillens,240100818,CC du Pays de Bâgé,CC
01160,Ferney-Voltaire,240100750,CC du Pays de Gex,CC
01162,Flaxieu,240100354,CC de Belley-Bas Bugey,CC
01163,Foissiat,240100156,CC de Montrevel en Bresse,CC
01165,Francheleins,240100727,CC de Montmerle Trois Rivières,CC
01166,Frans,240100735,CC Porte Ouest de la Dombes,CC
01167,Garnerans,240100594,CC Val de Saône-Chalaronne,CC
01169,Genouilleux,240100727,CC de Montmerle Trois Rivières,CC
01170,Béard-Géovreissiat,240100909,CC Lac de Nantua,CC
01171,Géovreisset,240100172,CC d'Oyonnax,CC
01172,Germagnat,240100636,CC de Treffort en Revermont,CC
01173,Gex,240100750,CC du Pays de Gex,CC
01174,Giron,240100891,CC du Pays Bellegardien,CC
01175,Gorrevod,240100685,CC du Canton de Pont de Vaux,CC
01176,Le Grand-Abergement,240100370,CC du Valromey,CC
01177,Grand-Corent,240100636,CC de Treffort en Revermont,CC
01179,Grièges,240100826,CC du Canton de Pont de Veyle,CC
01180,Grilly,240100750,CC du Pays de Gex,CC
01181,Groissiat,240100172,CC d'Oyonnax,CC
01182,Groslée,240100347,CC Terre d'Eaux,CC
01183,Guéreins,240100727,CC de Montmerle Trois Rivières,CC
01184,Hautecourt-Romanèche,240100693,CC de la Vallière,CC
01185,Hauteville-Lompnes,240100578,CC du Plateau d'Hauteville,CC
01186,Hostiaz,240100396,CC de la Vallée de l'Albarine,CC
01187,Hotonnes,240100370,CC du Valromey,CC
01188,Illiat,240100594,CC Val de Saône-Chalaronne,CC
01189,Injoux-Génissiat,240100891,CC du Pays Bellegardien,CC
01190,Innimond,240100412,CC Rhône - Chartreuse de Portes,CC
01191,Izenave,240100867,CC de la Combe du Val,CC
01192,Izernore,240100701,CC des Monts Berthiand,CC
01193,Izieu,240100347,CC Terre d'Eaux,CC
01194,Jassans-Riottier,240100735,CC Porte Ouest de la Dombes,CC
01195,Jasseron,240100628,CA de Bourg en Bresse,CA
01196,Jayat,240100156,CC de Montrevel en Bresse,CC
01197,Journans,240100842,CC Bresse Dombes Sud Revermont,CC
01198,Joyeux,240100883,CC de la Plaine de l'Ain,CC
01199,Jujurieux,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01200,Labalme,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01202,Lagnieu,240100883,CC de la Plaine de l'Ain,CC
01203,Laiz,240100826,CC du Canton de Pont de Veyle,CC
01204,Lalleyriat,240100909,CC Lac de Nantua,CC
01205,Lancrans,240100891,CC du Pays Bellegardien,CC
01206,Lantenay,240100867,CC de la Combe du Val,CC
01207,Lapeyrouse,240100875,CC Centre Dombes,CC
01208,Lavours,240100438,CC du Colombier,CC
01209,Léaz,240100750,CC du Pays de Gex,CC
01210,Lélex,240100750,CC du Pays de Gex,CC
01211,Lent,240100628,CA de Bourg en Bresse,CA
01212,Lescheroux,240100339,CC du Canton de Saint Trivier de Courtes,CC
01213,Leyment,240100883,CC de la Plaine de l'Ain,CC
01214,Leyssard,240100701,CC des Monts Berthiand,CC
01215,Lhôpital,240100891,CC du Pays Bellegardien,CC
01216,Lhuis,240100412,CC Rhône - Chartreuse de Portes,CC
01218,Lochieu,240100370,CC du Valromey,CC
01219,Lompnas,240100412,CC Rhône - Chartreuse de Portes,CC
01221,Lompnieu,240100370,CC du Valromey,CC
01224,Loyettes,240100883,CC de la Plaine de l'Ain,CC
01225,Lurcy,240100727,CC de Montmerle Trois Rivières,CC
01227,Magnieu,240100354,CC de Belley-Bas Bugey,CC
01228,Maillat,240100909,CC Lac de Nantua,CC
01229,Malafretaz,240100156,CC de Montrevel en Bresse,CC
01230,Mantenay-Montlin,240100339,CC du Canton de Saint Trivier de Courtes,CC
01231,Manziat,240100818,CC du Pays de Bâgé,CC
01232,Marboz,240100651,CC du Canton de Coligny,CC
01233,Marchamp,240100412,CC Rhône - Chartreuse de Portes,CC
01234,Marignieu,240100354,CC de Belley-Bas Bugey,CC
01235,Marlieux,240100875,CC Centre Dombes,CC
01236,Marsonnas,240100156,CC de Montrevel en Bresse,CC
01237,Martignat,240100172,CC d'Oyonnax,CC
01238,Massieux,240100602,CC Saône-Vallée,CC
01239,Massignieu-de-Rives,240100354,CC de Belley-Bas Bugey,CC
01240,Matafelon-Granges,240100701,CC des Monts Berthiand,CC
01241,Meillonnas,240100636,CC de Treffort en Revermont,CC
01242,Mérignat,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01243,Messimy-sur-Saône,ZZZZZZZZZ,nd,nd
01244,Meximieux,240100883,CC de la Plaine de l'Ain,CC
01245,Bohas-Meyriat-Rignat,240100693,CC de la Vallière,CC
01246,Mézériat,240100669,CC des Bords de Veyle,CC
01247,Mijoux,240100750,CC du Pays de Gex,CC
01248,Mionnay,240100875,CC Centre Dombes,CC
01249,Miribel,240100800,CC de Miribel et du Plateau,CC
01250,Misérieux,240100602,CC Saône-Vallée,CC
01252,Mogneneins,240100594,CC Val de Saône-Chalaronne,CC
01254,Montagnat,240100693,CC de la Vallière,CC
01255,Montagnieu,240100412,CC Rhône - Chartreuse de Portes,CC
01257,Montanges,240100891,CC du Pays Bellegardien,CC
01258,Montceaux,240100727,CC de Montmerle Trois Rivières,CC
01259,Montcet,240100628,CA de Bourg en Bresse,CA
01260,Le Montellier,240100883,CC de la Plaine de l'Ain,CC
01261,Monthieux,240100875,CC Centre Dombes,CC
01262,Montluel,240100610,CC du Canton de Montluel,CC
01263,Montmerle-sur-Saône,240100727,CC de Montmerle Trois Rivières,CC
01264,Montracol,240100628,CA de Bourg en Bresse,CA
01265,Montréal-la-Cluse,240100172,CC d'Oyonnax,CC
01266,Montrevel-en-Bresse,240100156,CC de Montrevel en Bresse,CC
01267,Nurieux-Volognat,240100701,CC des Monts Berthiand,CC
01268,Murs-et-Gélignieux,240100354,CC de Belley-Bas Bugey,CC
01269,Nantua,240100909,CC Lac de Nantua,CC
01271,Nattages,240100354,CC de Belley-Bas Bugey,CC
01272,Neuville-les-Dames,240100644,CC Chalaronne Centre,CC
01273,Neuville-sur-Ain,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01274,Les Neyrolles,240100909,CC Lac de Nantua,CC
01275,Neyron,240100800,CC de Miribel et du Plateau,CC
01276,Niévroz,240100610,CC du Canton de Montluel,CC
01277,Nivollet-Montgriffon,240100396,CC de la Vallée de l'Albarine,CC
01279,Oncieu,240100396,CC de la Vallée de l'Albarine,CC
01280,Ordonnaz,240100412,CC Rhône - Chartreuse de Portes,CC
01281,Ornex,240100750,CC du Pays de Gex,CC
01282,Outriaz,240100867,CC de la Combe du Val,CC
01283,Oyonnax,240100172,CC d'Oyonnax,CC
01284,Ozan,240100685,CC du Canton de Pont de Vaux,CC
01285,Parcieux,240100602,CC Saône-Vallée,CC
01286,Parves,240100354,CC de Belley-Bas Bugey,CC
01288,Péron,240100750,CC du Pays de Gex,CC
01289,Péronnas,240100628,CA de Bourg en Bresse,CA
01290,Pérouges,240100883,CC de la Plaine de l'Ain,CC
01291,Perrex,240100826,CC du Canton de Pont de Veyle,CC
01292,Le Petit-Abergement,240100370,CC du Valromey,CC
01293,Peyriat,240100701,CC des Monts Berthiand,CC
01294,Peyrieu,240100354,CC de Belley-Bas Bugey,CC
01295,Peyzieux-sur-Saône,240100594,CC Val de Saône-Chalaronne,CC
01296,Pirajoux,240100651,CC du Canton de Coligny,CC
01297,Pizay,240100610,CC du Canton de Montluel,CC
01298,Plagne,240100891,CC du Pays Bellegardien,CC
01299,Le Plantay,240100677,CC du Canton de Chalamont,CC
01300,Le Poizat,240100909,CC Lac de Nantua,CC
01301,Polliat,240100628,CA de Bourg en Bresse,CA
01302,Pollieu,240100354,CC de Belley-Bas Bugey,CC
01303,Poncin,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01304,Pont-d'Ain,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01305,Pont-de-Vaux,240100685,CC du Canton de Pont de Vaux,CC
01306,Pont-de-Veyle,240100826,CC du Canton de Pont de Veyle,CC
01307,Port,240100909,CC Lac de Nantua,CC
01308,Pougny,240100750,CC du Pays de Gex,CC
01309,Pouillat,240100636,CC de Treffort en Revermont,CC
01310,Prémeyzel,240100354,CC de Belley-Bas Bugey,CC
01311,Prémillieu,240100578,CC du Plateau d'Hauteville,CC
01312,Pressiat,240100636,CC de Treffort en Revermont,CC
01313,Prévessin-Moëns,240100750,CC du Pays de Gex,CC
01314,Priay,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01316,Pugieu,240100743,CC Bugey-Arène-Furans,CC
01317,Ramasse,240100693,CC de la Vallière,CC
01318,Rancé,240100735,CC Porte Ouest de la Dombes,CC
01319,Relevant,240100644,CC Chalaronne Centre,CC
01320,Replonges,240100818,CC du Pays de Bâgé,CC
01321,Revonnas,240100693,CC de la Vallière,CC
01322,Reyrieux,240100602,CC Saône-Vallée,CC
01323,Reyssouze,240100685,CC du Canton de Pont de Vaux,CC
01325,Rignieux-le-Franc,240100883,CC de la Plaine de l'Ain,CC
01328,Romans,240100644,CC Chalaronne Centre,CC
01329,Rossillon,240100743,CC Bugey-Arène-Furans,CC
01330,Ruffieu,240100370,CC du Valromey,CC
01331,Saint-Alban,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01332,Saint-André-de-Bâgé,240100818,CC du Pays de Bâgé,CC
01333,Saint-André-de-Corcy,240100875,CC Centre Dombes,CC
01334,Saint-André-d'Huiriat,240100826,CC du Canton de Pont de Veyle,CC
01335,Saint-André-le-Bouchoux,240100644,CC Chalaronne Centre,CC
01336,Saint-André-sur-Vieux-Jonc,240100628,CA de Bourg en Bresse,CA
01337,Saint-Bénigne,240100685,CC du Canton de Pont de Vaux,CC
01338,Saint-Benoît,240100347,CC Terre d'Eaux,CC
01339,Saint-Bernard,240100602,CC Saône-Vallée,CC
01340,Saint-Bois,240100347,CC Terre d'Eaux,CC
01341,Saint-Champ,240100354,CC de Belley-Bas Bugey,CC
01342,Sainte-Croix,240100610,CC du Canton de Montluel,CC
01343,Saint-Cyr-sur-Menthon,240100826,CC du Canton de Pont de Veyle,CC
01344,Saint-Denis-lès-Bourg,240100628,CA de Bourg en Bresse,CA
01345,Saint-Denis-en-Bugey,240100883,CC de la Plaine de l'Ain,CC
01346,Saint-Didier-d'Aussiat,240100156,CC de Montrevel en Bresse,CC
01347,Saint-Didier-de-Formans,240100602,CC Saône-Vallée,CC
01348,Saint-Didier-sur-Chalaronne,240100594,CC Val de Saône-Chalaronne,CC
01349,Saint-Éloi,240100883,CC de la Plaine de l'Ain,CC
01350,Saint-Étienne-du-Bois,240100636,CC de Treffort en Revermont,CC
01351,Saint-Étienne-sur-Chalaronne,240100594,CC Val de Saône-Chalaronne,CC
01352,Saint-Étienne-sur-Reyssouze,240100685,CC du Canton de Pont de Vaux,CC
01353,Sainte-Euphémie,240100602,CC Saône-Vallée,CC
01354,Saint-Genis-Pouilly,240100750,CC du Pays de Gex,CC
01355,Saint-Genis-sur-Menthon,240100826,CC du Canton de Pont de Veyle,CC
01356,Saint-Georges-sur-Renon,240100644,CC Chalaronne Centre,CC
01357,Saint-Germain-de-Joux,240100891,CC du Pays Bellegardien,CC
01358,Saint-Germain-les-Paroisses,240100354,CC de Belley-Bas Bugey,CC
01359,Saint-Germain-sur-Renon,240100875,CC Centre Dombes,CC
01360,Saint-Jean-de-Gonville,240100750,CC du Pays de Gex,CC
01361,Saint-Jean-de-Niost,240100883,CC de la Plaine de l'Ain,CC
01362,Saint-Jean-de-Thurigneux,240100602,CC Saône-Vallée,CC
01363,Saint-Jean-le-Vieux,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01364,Saint-Jean-sur-Reyssouze,240100339,CC du Canton de Saint Trivier de Courtes,CC
01365,Saint-Jean-sur-Veyle,240100826,CC du Canton de Pont de Veyle,CC
01366,Sainte-Julie,240100883,CC de la Plaine de l'Ain,CC
01367,Saint-Julien-sur-Reyssouze,240100339,CC du Canton de Saint Trivier de Courtes,CC
01368,Saint-Julien-sur-Veyle,240100669,CC des Bords de Veyle,CC
01369,Saint-Just,240100693,CC de la Vallière,CC
01370,Saint-Laurent-sur-Saône,247104193,CA du Mâconnais- Val de Saône,CA
01371,Saint-Marcel,240100875,CC Centre Dombes,CC
01372,Saint-Martin-de-Bavel,240100743,CC Bugey-Arène-Furans,CC
01373,Saint-Martin-du-Frêne,240100909,CC Lac de Nantua,CC
01374,Saint-Martin-du-Mont,240100842,CC Bresse Dombes Sud Revermont,CC
01375,Saint-Martin-le-Châtel,240100156,CC de Montrevel en Bresse,CC
01376,Saint-Maurice-de-Beynost,240100800,CC de Miribel et du Plateau,CC
01378,Saint-Maurice-de-Gourdans,240100883,CC de la Plaine de l'Ain,CC
01379,Saint-Maurice-de-Rémens,240100883,CC de la Plaine de l'Ain,CC
01380,Saint-Nizier-le-Bouchoux,240100339,CC du Canton de Saint Trivier de Courtes,CC
01381,Saint-Nizier-le-Désert,240100677,CC du Canton de Chalamont,CC
01382,Sainte-Olive,240100875,CC Centre Dombes,CC
01383,Saint-Paul-de-Varax,240100875,CC Centre Dombes,CC
01384,Saint-Rambert-en-Bugey,240100396,CC de la Vallée de l'Albarine,CC
01385,Saint-Rémy,240100628,CA de Bourg en Bresse,CA
01386,Saint-Sorlin-en-Bugey,240100883,CC de la Plaine de l'Ain,CC
01387,Saint-Sulpice,240100156,CC de Montrevel en Bresse,CC
01388,Saint-Trivier-de-Courtes,240100339,CC du Canton de Saint Trivier de Courtes,CC
01389,Saint-Trivier-sur-Moignans,240100941,CC Chanstrival,CC
01390,Saint-Vulbas,240100883,CC de la Plaine de l'Ain,CC
01391,Salavre,240100651,CC du Canton de Coligny,CC
01392,Samognat,240100701,CC des Monts Berthiand,CC
01393,Sandrans,240100644,CC Chalaronne Centre,CC
01396,Sault-Brénaz,240100883,CC de la Plaine de l'Ain,CC
01397,Sauverny,240100750,CC du Pays de Gex,CC
01398,Savigneux,240100735,CC Porte Ouest de la Dombes,CC
01399,Ségny,240100750,CC du Pays de Gex,CC
01400,Seillonnaz,240100412,CC Rhône - Chartreuse de Portes,CC
01401,Sergy,240100750,CC du Pays de Gex,CC
01402,Sermoyer,240100685,CC du Canton de Pont de Vaux,CC
01403,Serrières-de-Briord,240100412,CC Rhône - Chartreuse de Portes,CC
01404,Serrières-sur-Ain,240100701,CC des Monts Berthiand,CC
01405,Servas,240100628,CA de Bourg en Bresse,CA
01406,Servignat,240100339,CC du Canton de Saint Trivier de Courtes,CC
01407,Seyssel,247400823,CC du Pays de Seyssel,CC
01408,Simandre-sur-Suran,240100636,CC de Treffort en Revermont,CC
01409,Songieu,240100370,CC du Valromey,CC
01410,Sonthonnax-la-Montagne,240100701,CC des Monts Berthiand,CC
01411,Souclin,240100883,CC de la Plaine de l'Ain,CC
01412,Sulignat,240100644,CC Chalaronne Centre,CC
01413,Surjoux,240100891,CC du Pays Bellegardien,CC
01414,Sutrieu,240100370,CC du Valromey,CC
01415,Talissieu,240100370,CC du Valromey,CC
01416,Tenay,240100396,CC de la Vallée de l'Albarine,CC
01417,Thézillieu,240100578,CC du Plateau d'Hauteville,CC
01418,Thil,240100800,CC de Miribel et du Plateau,CC
01419,Thoiry,240100750,CC du Pays de Gex,CC
01420,Thoissey,240100594,CC Val de Saône-Chalaronne,CC
01421,Torcieu,240100396,CC de la Vallée de l'Albarine,CC
01422,Tossiat,240100842,CC Bresse Dombes Sud Revermont,CC
01423,Toussieux,240100602,CC Saône-Vallée,CC
01424,Tramoyes,240100800,CC de Miribel et du Plateau,CC
01425,La Tranclière,240100842,CC Bresse Dombes Sud Revermont,CC
01426,Treffort-Cuisiat,240100636,CC de Treffort en Revermont,CC
01427,Trévoux,240100602,CC Saône-Vallée,CC
01428,Valeins,240100941,CC Chanstrival,CC
01429,Vandeins,240100628,CA de Bourg en Bresse,CA
01430,Varambon,200029999,CC Rives de l'Ain - Pays de Cerdon,CC
01431,Vaux-en-Bugey,240100883,CC de la Plaine de l'Ain,CC
01432,Verjon,240100651,CC du Canton de Coligny,CC
01433,Vernoux,240100339,CC du Canton de Saint Trivier de Courtes,CC
01434,Versailleux,240100677,CC du Canton de Chalamont,CC
01435,Versonnex,240100750,CC du Pays de Gex,CC
01436,Vesancy,ZZZZZZZZZ,nd,nd
01437,Vescours,240100339,CC du Canton de Saint Trivier de Courtes,CC
01439,Vésines,240100818,CC du Pays de Bâgé,CC
01441,Vieu-d'Izenave,240100867,CC de la Combe du Val,CC
01442,Vieu,240100370,CC du Valromey,CC
01443,Villars-les-Dombes,240100875,CC Centre Dombes,CC
01444,Villebois,240100883,CC de la Plaine de l'Ain,CC
01445,Villemotier,240100651,CC du Canton de Coligny,CC
01446,Villeneuve,ZZZZZZZZZ,nd,nd
01447,Villereversure,240100693,CC de la Vallière,CC
01448,Villes,240100891,CC du Pays Bellegardien,CC
01449,Villette-sur-Ain,240100677,CC du Canton de Chalamont,CC
01450,Villieu-Loyes-Mollon,240100883,CC de la Plaine de l'Ain,CC
01451,Viriat,240100628,CA de Bourg en Bresse,CA
01452,Virieu-le-Grand,240100743,CC Bugey-Arène-Furans,CC
01453,Virieu-le-Petit,240100370,CC du Valromey,CC
01454,Virignin,240100354,CC de Belley-Bas Bugey,CC
01456,Vongnes,240100354,CC de Belley-Bas Bugey,CC
01457,Vonnas,240100669,CC des Bords de Veyle,CC
02001,Abbécourt,240200683,CC Chauny Tergnier,CC
02002,Achery,240200428,CC des Villes d'Oyse,CC
02003,Acy,240200477,CA du Soissonnais,CA
02004,Agnicourt-et-Séchelles,240200469,CC du Pays de la Serre,CC
02005,Aguilcourt,240200576,CC de la Champagne Picarde,CC
02006,Aisonville-et-Bernoville,240200485,CC de la Région de Guise,CC
02007,Aizelles,240200592,CC du Chemin des Dames,CC
02008,Aizy-Jouy,240200501,CC du Val de l'Aisne,CC
02009,Alaincourt,240200279,CC de la Vallée de l'Oise,CC
02010,Allemant,240200501,CC du Val de l'Aisne,CC
02011,Ambleny,240200436,CC du Pays de la Vallée de l'Aisne,CC
02012,Ambrief,240200519,CC du Canton d'Oulchy le Château,CC
02013,Amifontaine,240200576,CC de la Champagne Picarde,CC
02014,Amigny-Rouy,240200683,CC Chauny Tergnier,CC
02015,Ancienville,240200568,CC de l'Ourcq et du Clignon,CC
02016,Andelain,240200428,CC des Villes d'Oyse,CC
02017,Anguilcourt-le-Sart,240200428,CC des Villes d'Oyse,CC
02018,Anizy-le-Château,240200659,CC des Vallons d'Anizy,CC
02019,Annois,240200527,CC du Canton de Saint Simon,CC
02020,Any-Martin-Rieux,240200600,CC du Pays des Trois Rivières,CC
02021,Archon,240200634,CC des Portes de la Thiérache,CC
