CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
80047,Aveluy,248000747,CC du Pays du Coquelicot,CC
80048,Avesnes-Chaussoy,248000580,CC du Canton d'Oisemont,CC
80049,Ayencourt,248000739,CC du Canton de Montdidier,CC
80050,Bacouel-sur-Selle,248000648,CC du Canton de Conty,CC
80051,Bailleul,248000614,CC de la Région d'Hallencourt,CC
80052,Baizieux,248000499,CC du Val de Somme,CC
80053,Balâtre,200030716,CC du Grand Roye,CC
80054,Barleux,248000721,CC de la Haute Somme,CC
80055,Barly,248000416,CC du Doullennais,CC
80056,Bavelincourt,248000697,CC du Bocage et de l'Hallue,CC
80057,Bayencourt,248000747,CC du Pays du Coquelicot,CC
80058,Bayonvillers,248000507,CC du Santerre,CC
80059,Bazentin,248000747,CC du Pays du Coquelicot,CC
80060,Béalcourt,248000689,CC du Bernavillois,CC
80061,Beaucamps-le-Jeune,248000762,CC du Sud Ouest Amiénois,CC
80062,Beaucamps-le-Vieux,248000762,CC du Sud Ouest Amiénois,CC
80063,Beauchamps,247600588,CC Bresle Maritime,CC
80064,Beaucourt-en-Santerre,248000432,CC Avre Luce Moreuil,CC
80065,Beaucourt-sur-l'Ancre,248000747,CC du Pays du Coquelicot,CC
80066,Beaucourt-sur-l'Hallue,248000697,CC du Bocage et de l'Hallue,CC
80067,Beaufort-en-Santerre,248000507,CC du Santerre,CC
80068,Beaumetz,248000689,CC du Bernavillois,CC
80069,Beaumont-Hamel,248000747,CC du Pays du Coquelicot,CC
80070,Beauquesne,248000416,CC du Doullennais,CC
80071,Beauval,248000416,CC du Doullennais,CC
80073,Bécordel-Bécourt,248000747,CC du Pays du Coquelicot,CC
80074,Becquigny,248000739,CC du Canton de Montdidier,CC
80076,Béhen,248000473,CC du Vimeu Vert,CC
80077,Béhencourt,248000697,CC du Bocage et de l'Hallue,CC
80078,Bellancourt,248000556,CC de l'Abbevillois,CC
80079,Belleuse,248000648,CC du Canton de Conty,CC
80080,Belloy-en-Santerre,248000549,CC de Haute Picardie,CC
80081,Belloy-Saint-Léonard,248000762,CC du Sud Ouest Amiénois,CC
80082,Belloy-sur-Somme,248000481,CC de l'Ouest d'Amiens,CC
80083,Bergicourt,248000762,CC du Sud Ouest Amiénois,CC
80084,Bermesnil,248000580,CC du Canton d'Oisemont,CC
80085,Bernâtre,248000689,CC du Bernavillois,CC
80086,Bernaville,248000689,CC du Bernavillois,CC
80087,Bernay-en-Ponthieu,200011997,CC Authie-Maye,CC
80088,Bernes,248000572,CC du Canton de Roisel,CC
80089,Berneuil,248000689,CC du Bernavillois,CC
80090,Berny-en-Santerre,248000549,CC de Haute Picardie,CC
80092,Bertangles,248000531,CA Amiens Métropole,CA
80093,Berteaucourt-les-Dames,248000457,CC du Val de Nièvre et Environs,CC
80094,Berteaucourt-lès-Thennes,248000432,CC Avre Luce Moreuil,CC
80095,Bertrancourt,248000747,CC du Pays du Coquelicot,CC
80096,Béthencourt-sur-Mer,248000630,CC du Vimeu Industriel,CC
80097,Béthencourt-sur-Somme,248000358,CC du Pays Neslois,CC
80098,Bettembos,248000762,CC du Sud Ouest Amiénois,CC
80099,Bettencourt-Rivière,248000614,CC de la Région d'Hallencourt,CC
80100,Bettencourt-Saint-Ouen,248000457,CC du Val de Nièvre et Environs,CC
80101,Beuvraignes,200030716,CC du Grand Roye,CC
80102,Biaches,248000721,CC de la Haute Somme,CC
80103,Biarre,200030716,CC du Grand Roye,CC
80104,Biencourt,247600216,CC de Blangy sur Bresle,CC
80105,Billancourt,248000358,CC du Pays Neslois,CC
80106,Blangy-sous-Poix,248000762,CC du Sud Ouest Amiénois,CC
80107,Blangy-Tronville,248000531,CA Amiens Métropole,CA
